player.playerId,name,player.photoURL,player.jumperNumber,team.name,Disposals,Marks,Goals,tackles,games
CD_I1009868,Maddy Brancatisano,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009868.png,5,Gold Coast SUNS,13.66666667,2.083333333,0,3.333333333,12
CD_I1009873,Olivia Vesely,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009873.png,23,St Kilda,11.5,2,0,3.5,2
CD_I1009875,Eleanor Brown,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009875.png,8,GWS GIANTS,5.857142857,1.285714286,0,2.142857143,7
CD_I1009880,Charlotte Wilson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009880.png,22,Gold Coast SUNS,9.888888889,3.222222222,0,1.111111111,9
CD_I1009882,Gabrielle Newton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009882.png,1,Fremantle,24.41666667,2.916666667,0.166666667,7.333333333,12
CD_I1009885,Madison Prespakis,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009885.png,4,Essendon,23.45454545,2.909090909,0.181818182,4.181818182,11
CD_I1009888,Madeleine Guerin,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009888.png,18,Carlton,15.38461538,1.384615385,0.153846154,5.538461538,13
CD_I1009906,Mikayla Bowen,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009906.png,1,Geelong Cats,21.58333333,3.333333333,0.5,6.666666667,12
CD_I1009907,Roxanne Roux,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009907.png,9,West Coast Eagles,7.181818182,2.090909091,0,2.636363636,11
CD_I1009910,Courtney Hodder,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009910.png,21,Brisbane Lions,15.42857143,1.928571429,1,6.214285714,14
CD_I1009962,Poppy Boltz,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009962.png,15,Brisbane Lions,6.666666667,0.666666667,0.666666667,1,3
CD_I1009963,Lauren Bella,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009963.png,2,Gold Coast SUNS,6,0.75,0,1.375,8
CD_I1009976,Maddison Gay,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009976.png,6,Essendon,21,3,0,3.5,2
CD_I1009980,Kate Hore,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009980.png,10,Melbourne,21.33333333,3.866666667,1.6,5.266666667,15
CD_I1010096,Lauren Butler,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010096.png,23,Collingwood,10.33333333,1.833333333,0,2,12
CD_I1010102,Nell Morris-Dalton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010102.png,17,Collingwood,4.375,1,0.5,2,8
CD_I1010103,Isabella Grant,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010103.png,3,Western Bulldogs,11.90909091,2.818181818,0,2.272727273,11
CD_I1010104,Monique Conti,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010104.png,4,Richmond,26.33333333,1.916666667,0.166666667,7.166666667,12
CD_I1010236,Gabrielle Colvin,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010236.png,32,Melbourne,7,1.166666667,0,3.166666667,6
CD_I1010257,Clara Fitzpatrick,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010257.png,9,Gold Coast SUNS,12.5,2.625,0,3,8
CD_I1010263,Chloe Molloy,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010263.png,5,Sydney Swans,14.66666667,3.555555556,2.111111111,3.444444444,9
CD_I1010264,Alexandra Morcom,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010264.png,25,Essendon,11.7,1.3,0,3,10
CD_I1010265,Ash Riddell,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010265.png,7,Kangaroos,35.46666667,3.066666667,0.4,4.066666667,15
CD_I1010658,Kristy Stratton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010658.png,41,Hawthorn,7.5,2.75,0.25,1.75,4
CD_I1010662,Claudia Whitfort,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010662.png,4,Gold Coast SUNS,18.4,2,0.2,2,5
CD_I1010663,Ashleigh Brazill,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010663.png,24,Fremantle,9.454545455,1.727272727,0,2.454545455,11
CD_I1010677,Kim Rennie,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010677.png,26,Kangaroos,12.2,2.666666667,0.066666667,2.133333333,15
CD_I1010686,Elle Bennetts,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010686.png,11,Western Bulldogs,14,2.25,0,2,12
CD_I1010688,Maddie Shevlin,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010688.png,35,Richmond,10.7,1.9,0.2,1.4,10
CD_I1010689,Naomi Ferres,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010689.png,16,Western Bulldogs,8.5,0,0.5,3.5,2
CD_I1010690,Bonnie Toogood,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1010690.png,8,Essendon,15.6,4.4,0.5,3.6,10
CD_I1011057,Teah Charlton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011057.png,25,Adelaide Crows,12.58333333,1.25,0.416666667,5.25,12
CD_I1011062,Cheyenne Hammond,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011062.png,28,Port Adelaide,7.571428571,0.714285714,0,2.714285714,7
CD_I1011069,Hannah Munyard,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011069.png,6,Adelaide Crows,14,3,0,5,1
CD_I1011080,Chelsea Biddell,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011080.png,12,Adelaide Crows,14.28571429,3,0,1.571428571,14
CD_I1011091,Rachelle Martin,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011091.png,5,Adelaide Crows,5.5,0.5,0.5,1.5,2
CD_I1011095,Madison Newman,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1011095.png,17,Adelaide Crows,19.78571429,3.428571429,0.214285714,2.642857143,14
CD_I1012234,Mikayla Hyde,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012234.png,22,Collingwood,6.7,1.2,0.2,2,10
CD_I1012236,Sarah Verrier,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012236.png,5,Fremantle,11.09090909,1.545454545,0.090909091,3.363636364,11
CD_I1012241,Abbey Dowrick,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012241.png,5,Port Adelaide,18.36363636,2.090909091,0.181818182,7,11
CD_I1012242,Emma O'Driscoll,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012242.png,3,Fremantle,15.27272727,3.636363636,0,3.454545455,11
CD_I1012248,Philipa Seth,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012248.png,18,Fremantle,8.571428571,1.142857143,0,2.714285714,7
CD_I1012253,Jasmin Stewart,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012253.png,13,Port Adelaide,10.2,1.6,0.4,2.2,5
CD_I1012259,Jaide Britton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012259.png,18,West Coast Eagles,16.15384615,2,0.153846154,4.615384615,13
CD_I1012558,Brooke Walker,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012558.png,9,Essendon,10.25,1.5,0.25,4,4
CD_I1012575,Casey Sherriff,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012575.png,12,Hawthorn,8,0.857142857,0.142857143,2.571428571,14
CD_I1012580,Sophie Alexander,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012580.png,24,Essendon,9.75,2.333333333,0.666666667,2.333333333,12
CD_I1012581,Gabrielle Biedenweg-Webster,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012581.png,31,Fremantle,6.545454545,1.454545455,0.363636364,2.090909091,11
CD_I1012595,Vaomua Laloifi,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012595.png,32,Western Bulldogs,6.5,1.25,0,1.25,4
CD_I1012637,Mikala Cann,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012637.png,25,Collingwood,14.83333333,1.583333333,0.166666667,6.416666667,12
CD_I1012640,Julia Crockett-Grills,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012640.png,6,Geelong Cats,13.71428571,2.714285714,0.857142857,3.285714286,7
CD_I1012661,Lauren Ahrens,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012661.png,27,Western Bulldogs,8.75,2.25,0,1.75,12
CD_I1012662,Airlie Runnalls,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1012662.png,36,Collingwood,15.75,2.666666667,0.166666667,4,12
